,0,1,2
[[ 42.  49.]],-9.998235808619432,-9.998248845025069,-9.998241217081448
[[ 41.  48.]],-9.998217225774145,-9.998222008640566,-9.998230964422444
[[ 41.  47.]],-9.998047927114003,-9.998055700949044,-9.998050227839162
[[ 41.  46.]],-9.997797471750582,-9.997830539533153,-9.997820052768557
[[ 40.  45.]],-9.997737523015653,-9.997738738295485,-9.997736661075775
[[ 40.  44.]],-9.997383485005075,-9.997420617207329,-9.99742913671813
[[ 39.  44.]],-9.997567077910936,-9.997570622492146,-9.997771155085212
[[ 38.  43.]],-9.997328120273002,-9.997360339378158,-9.997359310788042
[[ 37.  44.]],-9.99770115493001,-9.997732495092158,-9.997873991431936
[[ 37.  43.]],-9.99741150437396,-9.997424383129788,-9.997504693092491
[[ 36.  43.]],-9.997419806055923,-9.997419051367466,-9.997451019739717
[[ 36.  42.]],-9.997068529405077,-9.997087538767216,-9.997125025072846
[[ 35.  42.]],-9.99698437184276,-9.997031272121896,-9.997003063323351
[[ 34.  42.]],-9.99690231404008,-9.996899178451953,-9.996914265226016
[[ 33.  41.]],-9.996246003697712,-9.996281157533977,-9.996306907507373
[[ 33.  42.]],-9.996709219748483,-9.996723161006457,-9.996723317934233
[[ 32.  43.]],-9.996416111412408,-9.996425097311176,-9.996448885759854
[[ 31.  44.]],-9.996046467247997,-9.996040696120328,-9.996042933933328
[[ 31.  45.]],-9.99592042199836,-9.995949027334646,-9.996002123327457
[[ 31.  46.]],-9.995756168568224,-9.995729783371383,-9.9957654623611
[[ 30.  46.]],-9.995071871965534,-9.995080177067257,-9.99508112158888
[[ 30.  48.]],-9.99473150048043,-9.994736523770571,-9.994729437670859
[[ 30.  50.]],-9.994397082454752,-9.994400643303354,-9.994388211007909
[[ 30.  52.]],-9.993921858887061,-9.993906494126207,-9.993925681148113
[[ 30.  53.]],-9.993282174291062,-9.993265713834383,-9.993260488202113
[[ 31.  54.]],-9.99353276235723,-9.993557671926212,-9.993529542571327
[[ 32.  56.]],-9.993297402982991,-9.992821158491427,-9.992827576161815
[[ 32.  57.]],-9.992329751762634,-9.992251076373694,-9.992241247552313
[[ 33.  57.]],-9.992978060153666,-9.992560774754224,-9.992510037124656
[[ 34.  57.]],-9.994127139435006,-9.994399784465267,-9.993652068391816
[[ 35.  58.]],-9.994402029685098,-9.993424867510207,-9.993384470046827
[[ 36.  58.]],-9.995312867716894,-9.995261229084427,-9.994936188071383
[[ 37.  58.]],-9.995913431219094,-9.995887380514088,-9.99541582258334
[[ 37.  57.]],-9.9967705014201,-9.99661132675502,-9.996117155817233
[[ 38.  57.]],-9.996956593520407,-9.996806254348147,-9.99618141752176
[[ 39.  57.]],-9.9969699284245,-9.996766683938839,-9.996373727294515
